CUI,An,CAEN,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati,I21
9010105,2015,6120,4119700903,933051330,163970728,575001620,194078982,36237388,2327376329,206259396,110638573,2444715323,93596733,,,4585755248,4680143137,4313471391,366671746,0,262151267,0,2386
9010105,2016,6120,3925851678,981600041,194676227,649199575,137724239,30483535,2846704041,219022227,120072938,1752136048,93596733,,4917728697,5023472079,4561965968,461506111,0,383594695,0,2371,
9010105,2017,6120,3845843656,1321187009,216249464,967354199,137583346,28916966,3013300245,222514682,207765277,1752367427,93596733,,5364891173,5468219944,5098527575,369692369,0,319346139,0,2361,
9010105,2018,6120,3574027099,1628997958,244346572,1174091844,210559542,35899247,3272910413,216180305,124609911,1625223675,93596733,,5744833659,5855596126,5513130593,342465533,0,192202387,0,2366,
9010105,2019,6120,3566112719,1820285066,173107067,1460415966,186762033,55959017,3298533155,204763573,121356661,1817703413,93596733,,5826425562,5950997821,5418332895,532664926,0,384682125,0,2472,
9010105,2020,6120,3988137922,1784783620,229746807,1463342772,91694041,64678549,3238606996,179127607,123222056,2296643432,93596733,,5629400949,5754550902,5205706876,548844026,0,461242331,0,2454,
9010105,2021,6120,5487487106,1989681690,295431567,1499649502,194600621,63131545,4959412967,213778836,170634215,2196474323,93596733,,5847251554,6391182190,5687745111,703437079,0,597080438,0,2377,
9010105,2022,6120,7205588310,1543548498,331659516,1109773990,102114992,55565732,6176790775,240210284,161869675,2225831806,93596733,,6057403632,6591760402,5875583305,716177097,0,602330569,0,2341,
9010105,2023,6120,7666089723,2060286404,379207867,1571242036,109836501,80001703,7003119925,235702843,124066303,2443488759,93596733,,6004120185,6510076549,6142539140,367537409,0,283785607,0,2368,
