CUI,An,CAEN,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati,I21
11269196,2015,2211,778676027,620850333,238976644,266146489,115727200,197654,332207455,36911708,1515482,1029089369,100881150,,,2848850558,2890126371,2042176804,847949567,0,710056865,0,2381
11269196,2016,2211,804552898,778842890,250674329,219989878,308178683,145570,394015833,31154127,1428982,1156942416,100881150,,2970479739,2988694846,2085161808,903533038,0,755557217,0,2445,
11269196,2017,2211,779627897,842454238,286935528,213718746,341799964,238417,428292070,25397574,4147844,1164483064,100881150,,3130805436,3201130977,2369808511,831322466,0,697540649,0,2423,
11269196,2018,2211,889547850,837699772,319354170,220582727,297762875,322448,468458148,20104627,8903807,1230103488,100881150,,3053779361,3093221888,2394679932,698541956,0,581620423,0,2501,
11269196,2019,2211,916620164,778777826,403771058,225657523,149349245,87893,465121063,14811680,5827139,1209726001,100881150,,2874331935,2973699825,2583947642,389752183,0,321286268,0,2607,
11269196,2020,2211,860197615,1020475239,377391147,241959387,401124705,1122,385874211,9518733,6155026,1479126006,100881150,,2715967867,2741438832,2191337074,550101758,0,465400005,0,2445,
11269196,2021,2211,838681948,1145678595,393187503,265915016,486576076,23732184,602691727,4234052,6634002,1394532946,100881150,,3199750380,3216008416,2555023794,660984622,0,555406938,0,2477,
11269196,2022,2211,1155329569,1280070723,675168463,316538391,288363869,16194495,1065248234,,8038960,1378307593,100881150,,4434266485,4595255066,3790362745,804892321,0,675774647,0,2511,
11269196,2023,2211,1143388272,1084740950,530521415,334024505,220195030,9294510,632232845,,8729698,1596461189,100881150,,4604885092,4665601299,3914703940,750897359,0,639653596,0,2593,
