CUI,An,CAEN,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati,I21
10547022,2015,4730,795412637,458496566,172032665,204107555,82356346,12962237,890044789,13358584,8600910,354867157,399450140,,,5437244338,5454821620,5419786433,35035187,0,35035187,0,2986
10547022,2016,4730,707690848,399975398,134195081,156707246,109073071,9657992,750846378,17587714,10207976,338682170,399450140,,5365592822,5368933688,5376816092,0,7882404,0,16184986,2819,
10547022,2017,4730,642845288,567617951,191349899,216460761,159807291,9820588,770079792,15515872,10259684,424428479,399450140,,5922290967,5976080323,5865140723,110939600,0,85746309,0,2599,
10547022,2018,4730,873955312,487200093,205773875,156004586,125421632,3751001,592731062,13767460,11939955,746467929,399450140,,7519233575,7531755771,7449894971,81860800,0,65144598,0,2547,
10547022,2019,4730,932562006,418135581,125756817,161250287,131128477,3830262,460598552,16113619,12098446,865717232,,,7610160705,7613249108,7466397357,146851751,0,119249302,0,2195,
10547022,2020,4730,912616449,563736604,169653904,246914041,147168659,3292580,434133058,20349363,9752531,1015410681,399450140,,5981460015,5985362438,5809860329,175502109,0,149693449,0,1608,
10547022,2021,4730,1058870569,821044971,247434865,502130959,71479147,3116728,589939443,20577251,8590056,1263925518,399450140,,7921919149,7934053461,7739584382,194469079,0,160362785,0,1321,
10547022,2022,4730,1033567561,1055630155,262358640,248933423,544338092,9446357,715642630,21064842,13566842,1348369759,399450140,,13358908234,13399497505,13120686153,278811352,0,235083572,0,896,
10547022,2023,4730,1168560326,1444684758,311162207,659307235,447602321,19481224,698728759,25354755,15996988,1892645806,399450140,,11106899986,11152883806,10737919860,414963946,0,353691899,0,356,
