CUI,An,CAEN,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati
15991149,2016,4711,5281304248,1141753603,709750018,127099910,304903675,18596113,2135226674,,97875897,4208551393,1563694477,,9691424899,9730692073,8978768943,751923130,0,653320307,0,14070
15991149,2017,4711,5754512138,1751930039,812788720,164938323,774202996,19915674,2451159125,53550,108216576,4966928600,1563694477,,10086636311,10142919637,9346152155,796767482,0,670347865,0,13519
15991149,2018,4711,6367269871,1922030769,944095202,160426302,817509265,18261359,2433482630,74004,118355553,5755649812,1563694477,,10889960330,10954269527,10019998264,934271263,0,788721212,0,12374
15991149,2019,4711,7025730501,2210065735,996983588,237458338,975623809,13117616,2553817166,546550,91230500,6603319636,1563694477,,11877240942,11941275663,10948970501,992305162,0,847669824,0,12497
15991149,2020,4711,8088010103,2311279008,1132372146,247203964,931702898,10366239,2488623320,0,99470370,7821561660,1563694477,,12835836082,12907110596,11795610127,1111500469,0,970385564,0,13108
15991149,2021,4711,9053801278,2821348206,1314224477,286596114,1220527615,9546844,3025437741,,150693570,8708565017,1563694477,,13967228520,14013359567,12970458856,1042900711,0,887003357,0,13512
15991149,2022,4711,10283285699,3047777733,1516190457,227444237,1304143039,14842238,3587970238,,165023924,9592911508,1563694477,,16014434265,16109902769,15048502460,1061400309,0,884346491,0,13827
15991149,2023,4711,11641572777,3398057960,1333334201,296477385,1768246374,14458075,4060002034,50129,150774394,10843262255,1563694477,,18346111498,18504336022,17484304115,1020031907,0,864897809,0,14340
15991149,2024,4711,12144310133,3587743457,1587109537,343001663,1657632257,15883405,4199921120,0,152864096,11395151779,1563694477,,19580918793,19721843721,18400617973,1321225748,0,1151889524,0,14592
