CUI,An,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati
39908567,2020,963340,6385490,313554,2571328,3500608,,5394607,,,1954223,200,,38003709,38555481,36363190,2192291,0,1926260,0,51
39908567,2021,1648326,14660882,339935,5103471,9217476,,11551903,,1998594.0,2758711,200,,86760683,86973927,84044768,2929159,0,2644017,0,57
39908567,2022,5435706,78927744,11010129,33202407,34315208,,41398521,,23759887.0,19205042,200,,237609725,247994586,226751343,21243243,0,18532052,0,74
39908567,2023,6251987,170244193,3435969,109476852,55537829,,89051565,,44288765.0,43155850,1000200,,402608586,395659398,349711669,45947729,0,40238851,0,81
39908567,2024,3726519,165219373,3052669,69136935,91636226,,47577094,,50208884.0,71159914,1000200,,337799310,342806742,265985704,76821038,0,67256510,0,70
