CUI,An,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati
38183029,2018,7098513,70900141,51931.0,28976690,41871520,263881,29839168,,,48423367,14140000.0,,158671748,160548158,154846320,5701838,0,4358803,0,540
38183029,2019,7424004,96084144,25406.0,15046169,81012569,784307,42320107,8.0,,61972340,14140000.0,,249127899,261106831,245504235,15602596,0,12854377,0,715
38183029,2020,11531831,122026773,,-30861810,152888583,1428729,67023859,,,67963474,,,329884806,369984290,346806798,23177492,0,19728835,0,865
38183029,2021,44643941,134865951,,27892947,106973004,2173009,88340503,,,93342398,,,432352541,435927197,405541901,30385296,0,24924715,0,1089
38183029,2022,50762658,186778577,,79611612,107166965,2483057,115715823,,,124308469,,,558952762,564096380,526904691,37191689,0,30670670,0,1292
38183029,2023,48117125,257301747,,71160465,186141282,5178207,136037067,,9020548.0,165539464,,,694188968,702721360,652391954,50329406,0,41131550,0,1525
38183029,2024,42024878,286887755,,74938352,211949403,5188372,142440203,,9886549.0,181774253,,,830559751,836379244,774983225,61396019,0,51767204,0,1770
