CUI,An,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati
22891860,2016,300221178,1887416177,370501203,1312556251,108922099,10419144,1433118734,129014,33441484,731367267,980472700,,5577887360,5643159433,5353764867,289394566,0,217744136,0,4265
22891860,2017,410149734,2825506939,441965836,1616526810,119428009,8553508,2116764068,91940,43220807,1084133366,980472700,,6510008485,6594011387,6202821177,391190210,0,352766100,0,4815
22891860,2018,443826429,3341852306,462895296,2029304117,113455757,6192048,2244538950,100380,50844624,1496386829,980472700,,7788918595,7920574570,7407023594,513550976,0,412253463,0,5481
22891860,2019,575657083,4136513102,572153934,2746768553,99178188,6399700,2670187416,85596,60515944,1987780929,980472700,,9765132117,9866918227,9298520560,568397667,0,491394098,0,7418
22891860,2020,710490770,4847396924,759283569,3295854879,140805046,8386537,3207644317,292356,89186404,2269151154,505472700,,12862968920,12989121158,12068822521,920298637,0,756370224,0,8779
22891860,2021,913189001,5779496939,929780367,4469688665,114511587,5703593,3488764859,108910,202951619,3006564145,505472700,,14876981747,15040314247,14138473873,901840374,0,737412992,0,9092
22891860,2022,1211061817,7687804622,1785537475,5612528090,272508060,9363046,5085629081,409456,156046243,3666144705,505472700,,18495999406,19008249483,17742932556,1265316927,0,1054580568,0,10086
22891860,2023,1412076797,6274305819,1294216941,4055766763,419500471,10709499,4768140097,1476901,278443462,2649031655,505472700,,21767076278,22343005654,21031540345,1311465309,0,1078382276,0,11293
22891860,2024,1460670881,7209850021,1328218734,4157312078,405505650,11684507,4462714739,1537069,348194708,3869758893,505472700,,23974285782,24691358435,23218028527,1473329908,0,1220727237,0,12735
