CUI,An,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati
15058256,2016,57752860,200275484,596980,41915633,157762871,1283426,111253160,39299805,495418,108263387,17589000,,908621778,908621778,875678587,32943191,0,23776547,0,3635
15058256,2017,62823589,168913882,1816013,55692102,111405767,9103791,128677990,46680174,411565,65071533,17589000,,1029332399,1029332399,996335148,32997251,0,22808144,0,4142
15058256,2018,64725124,218274392,537228,47510503,170226661,7955634,142919999,45440123,350234,102244794,17589000,,961253530,961254466,911535187,49719279,0,37173261,0,4463
15058256,2019,51312929,231849962,469142,86471739,144909081,5746816,82546381,46262773,2837087,157263466,17589000,,955894331,999244507,937741283,61503224,0,55018672,0,3378
15058256,2020,41594651,340153683,1213534,199314942,139625207,6978591,108992869,67777475,6656556,205300025,17589000,,818956543,851599232,792718477,58880755,0,48036559,0,2325
15058256,2021,35652411,370131298,1292720,167653216,201185362,10383321,122886155,81433373,75642,211771860,17589000,,693555456,728542948,717225858,11317090,0,6471835,0,2239
15058256,2022,33519206,254161087,8741054,143215505,102204528,21731870,106763504,97172880,309718,105166061,17589000,,805830771,844956984,809114502,35842482,0,30106036,0,2336
15058256,2023,29109577,264803795,1142918,193579672,70081205,16623821,78708080,104235463,3408314,124185336,17589000,,710877906,751120020,744827748,6292272,0,1840622,0,2118
15058256,2024,29098544,326135825,2241679,174907376,148986770,6590102,67453860,134877586,4095619,155397406,17589000,,963559959,1013039301,998516743,14522558,0,8625374,0,2091
