CUI,An,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati
9533457,2016,12597276,108912165,788982,106391020,1732163,4274710,37207340,2193,,88574618,38400,,311995342,319907339,255993048,63914291,0,54324453,0,1812
9533457,2017,16820138,164955080,353372,161111003,3490705,5002548,49348474,691219,,136738073,42060,,384427550,388576940,343803398,44773542,0,36562543,0,1861
9533457,2018,19403428,110290926,40623588,60889453,8777885,7682168,59719637,161310,,77495575,42060,,501882005,503254658,443012465,60242193,0,50109917,0,2275
9533457,2019,21370302,143434421,49557402,87259217,6617802,9728977,146176288,3068879,,25288533,42060,,647724657,655561301,581346191,74215110,0,62136175,0,2599
9533457,2020,25344228,111931327,56424051,35048458,20458818,9517594,131988984,964440,,13839725,42060,,764132384,773330967,688669811,84661156,0,73744844,0,2965
9533457,2021,36531878,214804143,78622940,117871912,18309291,15539226,132094514,979054,,133801679,42060,,941597471,946004665,817495677,128508988,0,106606780,0,3571
9533457,2022,45836059,276786457,104080363,141135860,31570234,17604802,235915166,2763845,,101548307,42060,,1292639145,1322070583,1137146835,184923748,0,168245100,0,4588
9533457,2023,35807734,408060328,101131826,294316576,12611926,26987740,148333195,7825,,322514782,44360,,1351384454,1391768145,1180029242,211738903,0,184693482,0,4372
9533457,2024,28198595,608982810,92584842,509011277,7386691,24204266,156740471,6832,,504638368,44360,,1264980041,1279007063,1120881926,158125137,0,133623944,0,3333
